code,name
ENGR 3341,Probability Theory and Statistics
ECS 3390,Professional and Technical Communication
ECS 3310,Introduction to Materials Science
ECS 3301,Introduction to Nanoscience and Nanotechnology
ECS 2361,Social Issues and Ethics in Science and Technology
ECS 1100,Introduction to Engineering and Computer Science
ENGR 2300,Linear Algebra for Engineers
ENGR 3300,Advanced Engineering Mathematics
CS 3333,Data Structures
CS 3341,Probability and Statistics in Computer Science and Software Engineering
CS 3345,Data Structures and Introduction to Algorithmic Analysis
CS 3354,Software Engineering
CS 3360,Computer Graphics for Artists and Designers
CS 4141,Digital Systems Laboratory
CS 3385,"Ethics, Law, Society, and Computing"
CS 3V95,Undergraduate Topics in Computer Science
CS 3305,Discrete Mathematics for Computing II
CS 4301,Special Topics in Computer Science
CS 4313,Neural Net Mathematics
CS 3377,C/C++ Programming in a UNIX Environment
CS 3162,Professional Responsibility in Computer Science and Software Engineering
CS 2337,Computer Science II
CS 2V95,Individual Instruction in Computer Science
CS 2340,Computer Architecture
CS 4314,Intelligent Systems Analysis
CS 2336,Computer Science II
CS 2335,Computer Science II for Non-majors
CS 2305,Discrete Mathematics for Computing I
CS 1336,Programming Fundamentals
CS 1335,Computer Science I for Non-majors
CS 1334,Programming Fundamentals for Non-Majors
CS 1325,Introduction to Programming
CS 1324,Introduction to Programming for Biomedical Engineers
CS 1200,Introduction to Computer Science and Software Engineering
CS 1136,Computer Science Laboratory
CS 1134,Computer Science Laboratory
CS 3149,Competitive Learning in Computer Science
CS 4315,Intelligent Systems Design
CS 4394,Implementation of Modern Operating Systems
CS 4334,Numerical Analysis
CS 4V98,Undergraduate Research in Computer Science
CS 4V95,Undergraduate Topics in Computer Science
CS 4485,Computer Science Project
CS 4475,Capstone Project
CS 4399,Senior Honors in Computer Science
CS 4398,Digital Forensics
CS 4397,Embedded Computer Systems
CS 4396,Networking Laboratory
CS 4395,Human Language Technologies
CS 4393,Computer and Network Security
CS 4392,Computer Animation
CS 4391,Introduction to Computer Vision
CS 4390,Computer Networks
CS 4389,Data and Applications Security
CS 4386,Compiler Design
CS 4384,Automata Theory
CS 4376,Object-Oriented Design
CS 4375,Introduction to Machine Learning
CS 4372,Computational Methods for Data Scientists
CS 4371,Introduction to Big Data Management and Analytics
CS 4365,Artificial Intelligence
CS 4361,Computer Graphics
CS 4353,Human Computer Interactions II
CS 4352,Human Computer Interactions I
CS 4349,Advanced Algorithm Design and Analysis
CS 4348,Operating Systems Concepts
CS 4347,Database Systems
CS 4341,Digital Logic and Computer Design
CS 4337,Organization of Programming Languages
CS 4332,Introduction to Programming Video Games
CS 4336,Advanced Java
CS 1337,Computer Science I
EE 4391,Technology of Plasma
EE 4203,Electrical and Computer Engineering Laboratory in Signals and Systems
EE 4202,Electrical and Computer Engineering Laboratory in Circuits
EE 4201,Electrical and Computer Engineering Laboratory in Computing Systems and Computer Engineering
EE 4168,RF/Microwave Laboratory
EE 3350,Communications Systems
EE 3320,Digital Circuits
EE 3311,Electronic Circuits
EE 3310,Electronic Devices
EE 4204,Electrical and Computer Engineering Laboratory in Devices
EE 3302,Signals and Systems
EE 3202,Electrical and Computer Engineering Fundamentals-II Laboratory
EE 3201,Electrical and Computer Engineering Fundamentals-I Laboratory
EE 3161,Social Issues and Ethics in Engineering
EE 3120,Digital Circuits Laboratory
EE 2310,Introduction to Digital Systems
EE 1202,Introduction to Electrical Engineering II
EE 1100,Introduction to Electrical and Computer Engineering
EE 4399,Senior Honors in Electrical Engineering
EE 3301,Electrical Network Analysis
EE 4205,Electrical and Computer Engineering Laboratory in Power Electronics and Energy Systems
EE 4389,Senior Design Project II
EE 4304,Computer Architecture
EE 4388,Senior Design Project I
EE 4371,Introduction to MEMS
EE 4370,Embedded Systems
EE 4368,RF Circuit Design Principles
EE 4301,Electromagnetic Engineering I
EE 4365,Introduction to Wireless Communication
EE 4363,Introduction to Power Electronics
EE 4362,Introduction to Energy Conversion
EE 4361,Introduction to Digital Signal Processing
EE 4360,Digital Communications
EE 4367,Telecommunication Networks
EE 4340,Analog Integrated Circuit Analysis and Design
EE 4331,Applied Machine Learning
EE 4330,Integrated Circuit Technology
EE 4325,Introduction to VLSI Design
EE 4V98,Undergraduate Research in Electrical Engineering
EE 4V97,Independent Study in Electrical Engineering
EE 4V95,Undergraduate Topics in Electrical Engineering
EE 4310,Systems and Controls
EE 4342,Introduction to Robotics
CE 3301,Electrical Network Analysis
CE 3202,Electrical and Computer Engineering Fundamentals-II Laboratory
CE 3201,Electrical and Computer Engineering Fundamentals-I Laboratory
CE 3161,Social Issues and Ethics in Engineering
CE 3120,Digital Circuits Laboratory
CE 1202,Introduction to Electrical Engineering II
CE 2305,Discrete Mathematics for Computing I
CE 1337,Computer Science I
CE 1100,Introduction to Electrical and Computer Engineering
CE 3303,Discrete-Time Signals and Systems
CE 2336,Computer Science II
CE 3310,Electronic Devices
CE 2310,Introduction to Digital Systems
CE 3320,Digital Circuits
CE 4V98,Undergraduate Research in Computer Engineering
CE 4V97,Independent Study in Computer Engineering
CE 4V95,Undergraduate Topics in Computer Engineering
CE 3311,Electronic Circuits
CE 4390,Computer Networks
CE 4389,Senior Design Project II
CE 4388,Senior Design Project I
CE 4370,Embedded Systems
CE 4348,Operating Systems Concepts
CE 4399,Senior Honors in Computer Engineering
CE 4304,Computer Architecture
CE 4202,Electrical and Computer Engineering Laboratory in Circuits
CE 4201,Electrical and Computer Engineering Laboratory in Computing Systems and Computer Engineering
CE 3354,Software Engineering
CE 3345,Data Structures and Introduction to Algorithmic Analysis
CE 4337,Organization of Programming Languages
CE 4203,Electrical and Computer Engineering Laboratory in Signals and Systems
CE 4204,Electrical and Computer Engineering Laboratory in Devices
CE 4205,Electrical and Computer Engineering Laboratory in Power Electronics and Energy Systems
SE 3354,Software Engineering
SE 3377,C/C++ Programming in a UNIX Environment
SE 4347,Database Systems
SE 4348,Operating Systems Concepts
SE 4351,Requirements Engineering
SE 3341,Probability and Statistics in Computer Science and Software Engineering
SE 4367,"Software Testing, Verification, Validation and Quality Assurance"
SE 3306,Mathematical Foundations of Software Engineering
SE 3162,Professional Responsibility in Computer Science and Software Engineering
SE 2V95,Individual Instruction in Software Engineering
SE 2340,Computer Architecture
SE 3345,Data Structures and Introduction to Algorithmic Analysis
SE 3V95,Undergraduate Topics in Software Engineering
SE 4352,Software Architecture and Design
SE 4376,Object-Oriented Design
SE 4381,Software Project Planning and Management
SE 4399,Senior Honors in Software Engineering
SE 4485,Software Engineering Project
SE 4V95,Undergraduate Topics in Software Engineering
SE 4V98,Undergraduate Research in Software Engineering
STAT 4V02,Independent Study in Statistics
ITSS 3100,Professional Development
ITSS 3200,Introduction to Business and Professional Development
ITSS 3300,Information Technology for Business
ITSS 3311,Introduction to Programming
ITSS 3312,Object-Oriented Programming
ITSS 3390,Web Design and Development for Business Applications
ITSS 4090,Information Technology and Systems Internship
ITSS 4300,Database Fundamentals
ITSS 4301,Database Systems
ITSS 4312,Mobile Web Application Development
ITSS 4320,Introduction to Healthcare Information Systems
ITSS 4342,Analysis and Design of Accounting Systems
ITSS 4343,Integrated SCM Information Systems
ITSS 4V95,Seminar Series in Information Systems
ITSS 4352,Introduction to Web Analytics
ITSS 4340,Enterprise Resource Planning
ITSS 4353,Business Analytics
ITSS 4354,Advanced Big Data Analytics
ITSS 4355,Data Visualization
ITSS 4360,Network and Information Security
ITSS 4361,Information Technology Cybersecurity
ITSS 4362,Cybersecurity Governance
ITSS 4370,Information Technology Infrastructure
ITSS 4380,Advanced Database Management
ITSS 4381,Object Oriented Programming with Python
ITSS 4395,Capstone Senior Project - Information Systems
ITSS 4V81,Individual Study in ITSS
ITSS 4V90,ITSS Internship
ITSS 4351,Foundations of Business Intelligence
ITSS 4330,Systems Analysis and Design
STAT 4V97,Undergraduate Topics in Statistics
STAT 3332,Statistics for Life Sciences
STAT 1342,Statistical Decision Making
STAT 2332,Introductory Statistics for Life Sciences
STAT 3341,Probability and Statistics in Computer Science and Software Engineering
STAT 3355,Data Analysis for Statisticians and Actuaries
STAT 3360,Probability and Statistics for Management and Economics
STAT 4351,Probability
STAT 4352,Mathematical Statistics
STAT 4355,Applied Linear Models
STAT 4354,Numerical and Statistical Computing
STAT 4382,Stochastic Processes
STAT 4475,Capstone Project
STAT 4360,Introduction to Statistical Learning
MATH 2417,Calculus I
MATH 2420,Differential Equations with Applications
MATH 2451,Multivariable Calculus with Applications
MATH 2V90,Topics in Mathematics - Level 2
MATH 3301,Mathematics for Elementary and Middle School Teachers
MATH 2312,Precalculus
MATH 3303,Introduction to Mathematical Modeling
MATH 3305,Foundations of Measurement and Informal Geometry
MATH 2418,Linear Algebra
MATH 2415,Calculus of Several Variables
MATH 2419,Calculus II
MATH 2413,Differential Calculus
MATH 2399,Research and Advanced Writing
MATH 2370,Introduction to Programming with MATLAB
MATH 3307,Mathematical Problem Solving for Teachers
MATH 1306,College Algebra for the Non-Scientist
MATH 1314,College Algebra
MATH 1316,Trigonometry
MATH 1325,Applied Calculus I
MATH 1326,Applied Calculus II
MATH 2306,Analytic Geometry
MATH 2414,Integral Calculus
MATH 3310,Theoretical Concepts of Calculus
MATH 2333,"Matrices, Vectors, and Their Application"
MATH 3312,Abstract Algebra II
MATH 4399,Senior Honors in Mathematics
MATH 4475,Capstone Project
MATH 4V03,Independent Study in Mathematics
MATH 4V91,Undergraduate Topics in Mathematics
MATH 3311,Abstract Algebra I
MATH 4381,Structure of Modern Geometry
MATH 4362,Partial Differential Equations
MATH 4355,Methods of Applied Mathematics
MATH 4341,Topology
MATH 4334,Numerical Analysis
MATH 4390,Senior Research and Advanced Writing
MATH 4302,Mathematical Analysis II
MATH 4301,Mathematical Analysis I
MATH 3397,Mathematical Problem Solving
MATH 3380,Differential Geometry
MATH 3315,Discrete Mathematics and Combinatorics
MATH 3379,Complex Variables
MATH 3321,Geometry
MATH 3323,Elementary Number Theory
MATH 4332,Scientific Math Computing
MATH 3351,Advanced Calculus
PHYS 2422,Honors Physics II - Electromagnetism and Waves
PHYS 1100,The Fun of Physics
PHYS 1301,College Physics I
PHYS 2126,Physics Laboratory II
PHYS 2125,Physics Laboratory I
PHYS 2303,Contemporary Physics
PHYS 2325,Mechanics
PHYS 2326,Electromagnetism and Waves
PHYS 3411,Theoretical Physics
PHYS 3380,Astronomy
PHYS 3312,Classical Mechanics
PHYS 1302,College Physics II
PHYS 3330,Numerical Methods in Physics and Computational Techniques
PHYS 4390,Senior Research
PHYS 4V10,Research Topics in Physics
PHYS 3416,Electricity and Magnetism
PHYS 3427,Electronics with Laboratory
PHYS 4301,Quantum Mechanics I
PHYS 4302,Quantum Mechanics II
PHYS 4311,Thermodynamics and Statistical Mechanics
PHYS 4319,Cyber-Physical Systems
PHYS 4328,Optics
PHYS 4352,Concepts of Modern Physics
PHYS 4371,Solid State Physics
PHYS 4373,Physical Measurements Laboratory
PHYS 4386,Elementary Particle Physics
PHYS 4392,Extragalactic Astrophysics
PHYS 4398,Senior Research Project for BA Degree
PHYS 4399,Senior Honors Research in Physics
PHYS 4V07,Senior Research Projects
PHYS 4V11,Topics in Physics
PHYS 2421,Honors Physics I - Mechanics and Heat
ACCT 2301,Introductory Financial Accounting
ACCT 4342,Analysis and Design of Accounting Systems
ACCT 4V80,Professional Internship in Accounting
ACCT 4V00,Special Topics
ACCT 4395,Capstone Senior Project - Accounting
ACCT 4340,Survey of Accounting Software
ACCT 4337,Business Valuation
ACCT 4336,Financial Statement Analysis
ACCT 4302,Accounting Research
ACCT 4301,Database Systems
ACCT 4334,Auditing
ACCT 3341,Cost Management Systems
ACCT 3332,Intermediate Financial Accounting II
ACCT 3331,Intermediate Financial Accounting I
ACCT 3322,Integrated Accounting Information Systems
ACCT 3200,Introduction to Business and Professional Development
ACCT 3101,Professional Program in Accounting Lyceum
ACCT 3100,Professional Development
ACCT 2302,Introductory Management Accounting
ACCT 3350,Fundamentals of Taxation
FIN 3330,Personal Financial Planning
FIN 3365,Real Estate Finance and Principles
FIN 3360,Entrepreneurial Finance
FIN 3350,Financial Markets and Institutions
FIN 3340,Regulation of Business and Financial Markets
FIN 3320,Business Finance
FIN 4V90,Individual Study in Finance
FIN 3300,Personal Finance
FIN 3200,Introduction to Business and Professional Development
FIN 3100,Professional Development
FIN 4V99,Special Topics in Finance
FIN 3370,Principles of Risk Management and Insurance
