code,name,prefix
CS 4349,Advanced Algorithm Design and Analysis,CS
CS 4334,Numerical Analysis,CS
CS 4332,Introduction to Programming Video Games,CS
CS 4315,Intelligent Systems Design,CS
CS 4314,Intelligent Systems Analysis,CS
CS 4313,Neural Net Mathematics,CS
CS 4301,Special Topics in Computer Science,CS
CS 4141,Digital Systems Laboratory,CS
CS 3V95,Undergraduate Topics in Computer Science,CS
CS 3385,"Ethics, Law, Society, and Computing",CS
CS 3377,C/C++ Programming in a UNIX Environment,CS
CS 3360,Computer Graphics for Artists and Designers,CS
CS 3354,Software Engineering,CS
CS 3345,Data Structures and Introduction to Algorithmic Analysis,CS
CS 3341,Probability and Statistics in Computer Science and Software Engineering,CS
CS 3333,Data Structures,CS
CS 3162,Professional Responsibility in Computer Science and Software Engineering,CS
CS 3149,Competitive Learning in Computer Science,CS
CS 2V95,Individual Instruction in Computer Science,CS
CS 2340,Computer Architecture,CS
CS 2337,Computer Science II,CS
CS 2336,Computer Science II,CS
CS 2335,Computer Science II for Non-majors,CS
CS 2305,Discrete Mathematics for Computing I,CS
CS 1337,Computer Science I,CS
CS 1336,Programming Fundamentals,CS
CS 4336,Advanced Java,CS
CS 4337,Organization of Programming Languages,CS
CS 4341,Digital Logic and Computer Design,CS
CS 4347,Database Systems,CS
CS 4V98,Undergraduate Research in Computer Science,CS
CS 4V95,Undergraduate Topics in Computer Science,CS
CS 4485,Computer Science Project,CS
CS 4475,Capstone Project,CS
CS 4399,Senior Honors in Computer Science,CS
CS 4398,Digital Forensics,CS
CS 4397,Embedded Computer Systems,CS
CS 4396,Networking Laboratory,CS
CS 4395,Human Language Technologies,CS
CS 4394,Implementation of Modern Operating Systems,CS
CS 4393,Computer and Network Security,CS
CS 4392,Computer Animation,CS
CS 1335,Computer Science I for Non-majors,CS
CS 4391,Introduction to Computer Vision,CS
CS 4389,Data and Applications Security,CS
CS 4386,Compiler Design,CS
CS 4384,Automata Theory,CS
CS 4376,Object-Oriented Design,CS
CS 4375,Introduction to Machine Learning,CS
CS 4372,Computational Methods for Data Scientists,CS
CS 4371,Introduction to Big Data Management and Analytics,CS
CS 4365,Artificial Intelligence,CS
CS 4361,Computer Graphics,CS
CS 4353,Human Computer Interactions II,CS
CS 4352,Human Computer Interactions I,CS
CS 4348,Operating Systems Concepts,CS
CS 4390,Computer Networks,CS
CS 1334,Programming Fundamentals for Non-Majors,CS
CS 3305,Discrete Mathematics for Computing II,CS
CS 1324,Introduction to Programming for Biomedical Engineers,CS
CS 1200,Introduction to Computer Science and Software Engineering,CS
CS 1136,Computer Science Laboratory,CS
CS 1134,Computer Science Laboratory,CS
CS 1325,Introduction to Programming,CS
EE 1202,Introduction to Electrical Engineering II,EE
EE 1100,Introduction to Electrical and Computer Engineering,EE
EE 4V98,Undergraduate Research in Electrical Engineering,EE
EE 4V97,Independent Study in Electrical Engineering,EE
EE 4V95,Undergraduate Topics in Electrical Engineering,EE
EE 4399,Senior Honors in Electrical Engineering,EE
EE 4391,Technology of Plasma,EE
EE 4371,Introduction to MEMS,EE
EE 4388,Senior Design Project I,EE
EE 4370,Embedded Systems,EE
EE 4368,RF Circuit Design Principles,EE
EE 4367,Telecommunication Networks,EE
EE 4365,Introduction to Wireless Communication,EE
EE 4363,Introduction to Power Electronics,EE
EE 4362,Introduction to Energy Conversion,EE
EE 4389,Senior Design Project II,EE
EE 2310,Introduction to Digital Systems,EE
EE 3201,Electrical and Computer Engineering Fundamentals-I Laboratory,EE
EE 3161,Social Issues and Ethics in Engineering,EE
EE 4310,Systems and Controls,EE
EE 4304,Computer Architecture,EE
EE 4301,Electromagnetic Engineering I,EE
EE 4205,Electrical and Computer Engineering Laboratory in Power Electronics and Energy Systems,EE
EE 4204,Electrical and Computer Engineering Laboratory in Devices,EE
EE 4203,Electrical and Computer Engineering Laboratory in Signals and Systems,EE
EE 4202,Electrical and Computer Engineering Laboratory in Circuits,EE
EE 3120,Digital Circuits Laboratory,EE
EE 4201,Electrical and Computer Engineering Laboratory in Computing Systems and Computer Engineering,EE
EE 3350,Communications Systems,EE
EE 3320,Digital Circuits,EE
EE 3311,Electronic Circuits,EE
EE 3310,Electronic Devices,EE
EE 3302,Signals and Systems,EE
EE 3301,Electrical Network Analysis,EE
EE 3202,Electrical and Computer Engineering Fundamentals-II Laboratory,EE
EE 4168,RF/Microwave Laboratory,EE
EE 4361,Introduction to Digital Signal Processing,EE
EE 4342,Introduction to Robotics,EE
EE 4340,Analog Integrated Circuit Analysis and Design,EE
EE 4325,Introduction to VLSI Design,EE
EE 4360,Digital Communications,EE
EE 4331,Applied Machine Learning,EE
EE 4330,Integrated Circuit Technology,EE
CE 2310,Introduction to Digital Systems,CE
CE 4V98,Undergraduate Research in Computer Engineering,CE
CE 4V97,Independent Study in Computer Engineering,CE
CE 4V95,Undergraduate Topics in Computer Engineering,CE
CE 4399,Senior Honors in Computer Engineering,CE
CE 4390,Computer Networks,CE
CE 4389,Senior Design Project II,CE
CE 4388,Senior Design Project I,CE
CE 1100,Introduction to Electrical and Computer Engineering,CE
CE 4370,Embedded Systems,CE
CE 4348,Operating Systems Concepts,CE
CE 4337,Organization of Programming Languages,CE
CE 4304,Computer Architecture,CE
CE 4205,Electrical and Computer Engineering Laboratory in Power Electronics and Energy Systems,CE
CE 4204,Electrical and Computer Engineering Laboratory in Devices,CE
CE 4203,Electrical and Computer Engineering Laboratory in Signals and Systems,CE
CE 4202,Electrical and Computer Engineering Laboratory in Circuits,CE
CE 4201,Electrical and Computer Engineering Laboratory in Computing Systems and Computer Engineering,CE
CE 2336,Computer Science II,CE
CE 1337,Computer Science I,CE
CE 3120,Digital Circuits Laboratory,CE
CE 3161,Social Issues and Ethics in Engineering,CE
CE 3201,Electrical and Computer Engineering Fundamentals-I Laboratory,CE
CE 3202,Electrical and Computer Engineering Fundamentals-II Laboratory,CE
CE 2305,Discrete Mathematics for Computing I,CE
CE 3301,Electrical Network Analysis,CE
CE 3310,Electronic Devices,CE
CE 3311,Electronic Circuits,CE
CE 3320,Digital Circuits,CE
CE 3345,Data Structures and Introduction to Algorithmic Analysis,CE
CE 1202,Introduction to Electrical Engineering II,CE
CE 3303,Discrete-Time Signals and Systems,CE
CE 3354,Software Engineering,CE
SE 4V95,Undergraduate Topics in Software Engineering,SE
SE 4V98,Undergraduate Research in Software Engineering,SE
SE 4352,Software Architecture and Design,SE
SE 4399,Senior Honors in Software Engineering,SE
SE 4381,Software Project Planning and Management,SE
SE 4376,Object-Oriented Design,SE
SE 4367,"Software Testing, Verification, Validation and Quality Assurance",SE
SE 4351,Requirements Engineering,SE
SE 4348,Operating Systems Concepts,SE
SE 4347,Database Systems,SE
SE 3V95,Undergraduate Topics in Software Engineering,SE
SE 4485,Software Engineering Project,SE
SE 3354,Software Engineering,SE
SE 3345,Data Structures and Introduction to Algorithmic Analysis,SE
SE 3341,Probability and Statistics in Computer Science and Software Engineering,SE
SE 3306,Mathematical Foundations of Software Engineering,SE
SE 3162,Professional Responsibility in Computer Science and Software Engineering,SE
SE 2V95,Individual Instruction in Software Engineering,SE
SE 2340,Computer Architecture,SE
SE 3377,C/C++ Programming in a UNIX Environment,SE
FIN 4337,Business Valuation,FIN
FIN 4336,Risk Control and Safety Engineering,FIN
FIN 4335,Financial Aspects of Retirement and Employee Benefits,FIN
FIN 4334,Insurance Law and Contracts,FIN
FIN 4330,Estate Planning,FIN
FIN 4332,Commercial Property Risk Management and Insurance,FIN
FIN 4331,Business Liability Risk Management and Insurance,FIN
FIN 4338,Financial Decision Making Processes for Risk Management,FIN
FIN 4333,Enterprise Risk Management,FIN
FIN 4V99,Special Topics in Finance,FIN
FIN 4399,Senior Honors in Finance,FIN
FIN 4345,Financial Information and Analysis,FIN
FIN 4350,Cases in Personal Financial Planning,FIN
FIN 4380,Domestic Fund Management,FIN
FIN 4386,Beginning Mathematical Finance,FIN
FIN 4387,Computational Methods in Finance,FIN
FIN 4390,Seminar Series in Finance,FIN
FIN 4395,Capstone Senior Project - Finance,FIN
FIN 4328,Real Estate Valuation,FIN
FIN 4V80,Practicum in Finance,FIN
FIN 4V90,Individual Study in Finance,FIN
FIN 4340,Options and Futures Markets,FIN
